text,label
"Unauthorized hook connections seen from main line in slum cluster, causing overload and outages.","Electricity, Street Lights & Electrical Wiring"
"LED streetlights installed but half are non-functional already, maybe driver failure.","Electricity, Street Lights & Electrical Wiring"
"Complaint about burnt smell from meter room in building 4A, please inspect urgently.","Electricity, Street Lights & Electrical Wiring"
"Dark patch between Sector gate and park because two consecutive poles are fused.","Electricity, Street Lights & Electrical Wiring"
"Power cuts exactly at peak evening hours in our lane almost daily, no prior SMS alert.","Electricity, Street Lights & Electrical Wiring"
"Insulation tape peeled off from cable joint near chowk signal, exposed conductor visible.","Electricity, Street Lights & Electrical Wiring"
"Group of men drinking and harassing passersby near abandoned kiosk every night.","Public Safety, Security & Unauthorized Activity"
"Someone has encroached footpath with illegal parking shed in front of clinic, pedestrians forced on road.","Public Safety, Security & Unauthorized Activity"
"Unidentified persons doing late-night bike racing on inner road, very unsafe for residents.","Public Safety, Security & Unauthorized Activity"
"Street cameras at market junction seem non-working; theft happened yesterday.","Public Safety, Security & Unauthorized Activity"
"Frequent chain-snatching reports near subway exit, please increase patrolling.","Public Safety, Security & Unauthorized Activity"
"Unauthorized liquor sale suspected from small grocery after 10pm, crowd creates nuisance.","Public Safety, Security & Unauthorized Activity"
"Construction site left open without barricade/security guard, anyone can enter at night.","Public Safety, Security & Unauthorized Activity"
"Repeated loud fights in vacant plot settlement behind Block F, families feel threatened.","Public Safety, Security & Unauthorized Activity"
"Two suspicious men were checking parked vehicles in basement area around midnight.","Public Safety, Security & Unauthorized Activity"
"Illegal gambling setup operating near canal road under the bridge.","Public Safety, Security & Unauthorized Activity"
"Unknown people occupying public park corner and storing scrap materials there.","Public Safety, Security & Unauthorized Activity"
"School zone zebra crossing ignored because no traffic marshal in morning rush.","Public Safety, Security & Unauthorized Activity"
"Abandoned car with broken windows parked for months; possibly being used for illicit activity.","Public Safety, Security & Unauthorized Activity"
"Street near old warehouse has zero police visibility and frequent phone snatching.","Public Safety, Security & Unauthorized Activity"
"Unauthorized street vendors have blocked emergency access lane beside apartment gate.","Public Safety, Security & Unauthorized Activity"
